,perc_products_sent_one_bc,perc_products_sent_several_bc,perc_products_not_catch,perc_max_prod_catch_from_other_bc,total_products
0,2497,666,3858,0,7021.0
0,2497,666,3858,0.001,7021.0
0,2497,666,3858,0.005,7021.0
0,2497,666,3858,0.01,7021.0
0,2497,666,3858,0.03,7021.0
0,2496,668,3857,0.05,7021.0
0,2491,673,3857,0.07,7021.0
0,2500,680,3841,0.1,7021.0
0,2695,802,3524,0.2,7021.0
0,2733,850,3438,0.3,7021.0
0,2876,949,3196,0.4,7021.0
0,2318,1716,2987,0.5,7021.0
0,2331,1835,2855,0.6,7021.0
0,2259,1955,2807,0.7,7021.0
0,2245,1971,2805,0.8,7021.0
0,2123,2104,2794,0.9,7021.0
0,1897,2592,2532,1,7021.0
